Name,Win Rate,Loss Rate,Draw Rate
KoalaDPSSprintKoalaHealerAOE,35,40,0
KoalaHealerKoalaTank,54,19,0
KoalaHealerKoalaHealerAOE,74,32,0
KoalaDPSKoalaDPS,7,79,0
KoalaDPSKoalaHealer,51,58,0
KoalaDPSKoalaDPSSprint,44,57,0
KoalaDPSKoalaHealerAOE,13,72,0
KoalaHealerAOEKoalaHealerAOE,8,27,0
KoalaHealerAOEKoalaTank,26,27,0
KoalaDPSSprintKoalaHealer,84,12,0
KoalaHealerKoalaHealer,55,0,0
KoalaDPSSprintKoalaTank,40,32,0
KoalaTankKoalaTank,16,11,0
KoalaDPSKoalaTank,12,78,0
KoalaDPSSprintKoalaDPSSprint,32,7,0

