Name,Win Rate,Loss Rate,Draw Rate
KoalaDPSKoalaDPSKoalaHealerAOEKoalaTank,0,0,1
KoalaDPS,2,1,8
KoalaHealerAOE,1,1,6
KoalaTank,0,2,13
KoalaDPSSprintKoalaDPSSprintKoalaDPSSprintKoalaDPSSprint,0,0,1
KoalaDPSSprint,4,2,5
KoalaDPSKoalaDPSSprintKoalaHealerAOEKoalaTank,0,0,1
KoalaDPSKoalaDPSSprint,2,1,0
KoalaDPSSprintKoalaTank,0,1,0
KoalaHealerKoalaHealerKoalaHealerAOEKoalaTank,0,0,1
KoalaHealer,1,2,4
KoalaDPSKoalaHealerAOEKoalaTankKoalaTank,0,0,1
KoalaDPSKoalaHealerKoalaTankKoalaTank,0,0,1
KoalaDPSSprintKoalaHealer,1,0,0
KoalaHealerKoalaHealer,0,1,0
KoalaDPSKoalaHealerKoalaHealerAOEKoalaHealerAOE,0,0,1
KoalaDPSSprintKoalaHealerAOE,1,0,0
KoalaHealerAOEKoalaTank,0,1,0
KoalaDPSKoalaTankKoalaTankKoalaTank,0,0,2

